"Timestamp","Стать респондента","Рік народження","Скільки часу ви проживаєте у місті Володимир","Ваш рід занять","Рівень доходу","Яку частину доходу ви витрачаєте на діяльсть пов'язану з туризмом та сферою обслуговування ","Як ви ставитесь до візитів хасидів до Володимира?

цього читати респондентам не потрібно (Карлін-столінські хасиди, вшановують пам’ять свого цадика (духовного провідника) Шломо Готліба Карлінера, який помер у 1792 році і похований на колишньому єврейському цвинтарі, нині це паркова зона в районі вулиці Драгоманова)  ","Як ви ставитесь до туристів з Польщі?","Як ви ставитесь до туристів з інших країн?","На вашу думку який у вас рівень володіння англійською мовою?","На вашу думку який у вас рівень володіння польською мовою?","Чи достатньо, на вашу думку, у Володимирі готелей, для розміщення туристів чи туристичних груп?","Чи достатньо, на вашу думку, у Володимирі закладів харчування?","Чи вважаєте ви, що Володимир достатньо представлений в інтернеті як туристичне місто?"," Які туристичні об’єкти у Володимирі є, на вашу думку, ключовими для приваблення туристів?","Які зміни в туристичній інфраструктурі ви вважаєте найбільш необхідними? (можна кілька варіантів)","Які об’єкти, на вашу думку, слід відкрити чи розвинути у Володимирі, щоб туристи залишалися довше? (можна кілька варіантів)"
"2025/09/06 11:27:34 AM GMT+3","Жіноча","","більше 20 років","Приватний підприємець","10 000 грн - 20 000 грн","до 5%","На мене це ніяк не впливає","Позитивно, туристи це завжди добре для міста","Позитивно, туристи це завжди добре для міста","початковий (A1)","початковий (A1)","Так","Так","Частково","Вали городища;Храми","Краще туристичне зонування та навігація (вказівники, карти);Більше рекламних кампаній про місто за кордоном та в Україні",""
"2025/09/06 11:34:51 AM GMT+3","Чоловіча","","більше 20 років","Пенсіонер","до 10 000 грн","","Негативно, вони залишають багато сміття і вони люди іншої культури, яка для нас чужа","Позитивно, туристи це завжди добре для міста","Позитивно, туристи це завжди добре для міста","початковий (A1)","середній (B1)","","","Ні","Заклади харчування","Організація нових культурних та розважальних подій;Більше екскурсій та гідів, в тому числі іноземними мовами;Більше рекламних кампаній про місто за кордоном та в Україні","SPA- та wellness-комплекс (сауни, басейн);Торгово-розважальний центр;Майданчик для регулярних ярмарків"
"2025/09/06 11:41:16 AM GMT+3","Жіноча","","більше 20 років","Приватний підприємець","до 10 000 грн","до 5%","","Позитивно, туристи це завжди добре для міста","Позитивно, туристи це завжди добре для міста","середній (B1)","середній (B1)","Так","Так","Ні","Вали городища;Храми","Покращення доріг і транспортного сполучення;Організація нових культурних та розважальних подій;Більше екскурсій та гідів, в тому числі іноземними мовами;Більше рекламних кампаній про місто за кордоном та в Україні;Піша доріжка, яка обєднуватиме туристичні об'єкти","МакДональдс чи інший fast-food;Лазертаг, боулінг, кінотеатр"
"2025/09/06 11:46:12 AM GMT+3","Жіноча","","більше 20 років","Працівник","","10%-20%","Негативно, вони залишають багато сміття і вони люди іншої культури, яка для нас чужа","Позитивно, туристи це завжди добре для міста","Позитивно, туристи це завжди добре для міста","початковий (A1)","середній (B1)","","","Ні","","Більше рекламних кампаній про місто за кордоном та в Україні","Торгово-розважальний центр"
"2025/09/06 11:51:24 AM GMT+3","Жіноча","","","Пенсіонер","до 10 000 грн","5%-10%","На мене це ніяк не впливає","На мене це ніяк не впливає","На мене це ніяк не впливає","початковий (A1)","елементарний (A2)","Ні","Ні","Частково","Вали городища;Храми;Центральна площа","Покращення доріг і транспортного сполучення;Більше місць для проживання (готелі, хостели, садиби);Краще туристичне зонування та навігація (вказівники, карти);Організація нових культурних та розважальних подій;Більше екскурсій та гідів, в тому числі іноземними мовами;Розвиток закладів харчування та місцевої кухні","МакДональдс чи інший fast-food;Кав’ярні/фуд-корт із місцевою кухнею;Лазертаг, боулінг, кінотеатр;Контактний зоопарк / міні-ферма для дітей;Рекреаційна зона відпочинку з водоймою"
"2025/09/06 11:55:26 AM GMT+3","Жіноча","","10-20 років","Працівник","10 000 грн - 20 000 грн","до 5%","На мене це ніяк не впливає","Позитивно, туристи це завжди добре для міста","Позитивно, туристи це завжди добре для міста","середній (B1)","початковий (A1)","Так","Так","Так","Вали городища;Храми","Краще туристичне зонування та навігація (вказівники, карти);Організація нових культурних та розважальних подій;Більше рекламних кампаній про місто за кордоном та в Україні;Піша доріжка, яка обєднуватиме туристичні об'єкти","МакДональдс чи інший fast-food;Лазертаг, боулінг, кінотеатр;Рекреаційна зона відпочинку з водоймою;Музей з інтерактивними технологіями (VR/AR);Літературно-мистецький простір (книгарня-кав’ярня, сцена);Торгово-розважальний центр"
"2025/09/06 12:01:04 PM GMT+3","Чоловіча","","більше 20 років","Пенсіонер","до 10 000 грн",">20%","Негативно, вони залишають багато сміття і вони люди іншої культури, яка для нас чужа","На мене це ніяк не впливає","Позитивно, туристи це завжди добре для міста","початковий (A1)","просунутий (C1)","Так","Так","","","","МакДональдс чи інший fast-food;Рекреаційна зона відпочинку з водоймою;Музей з інтерактивними технологіями (VR/AR);Парк пригод (мотузковий, zip-line)"
"2025/09/06 12:06:41 PM GMT+3","Жіноча","","2-5 років","Приватний підприємець","","","На мене це ніяк не впливає","Позитивно, туристи це завжди добре для міста","Позитивно, туристи це завжди добре для міста","елементарний (A2)","початковий (A1)","Ні","Так","Частково","Вали городища;Храми","Більше місць для проживання (готелі, хостели, садиби);Краще туристичне зонування та навігація (вказівники, карти);Організація нових культурних та розважальних подій;Розвиток закладів харчування та місцевої кухні;Більше рекламних кампаній про місто за кордоном та в Україні;Піша доріжка, яка обєднуватиме туристичні об'єкти","МакДональдс чи інший fast-food;Кав’ярні/фуд-корт із місцевою кухнею;SPA- та wellness-комплекс (сауни, басейн);Музей з інтерактивними технологіями (VR/AR);Літературно-мистецький простір (книгарня-кав’ярня, сцена);Парк пригод (мотузковий, zip-line);Вело- та пішохідні маршрути з прокатом"
"2025/09/06 12:15:35 PM GMT+3","Чоловіча","","2-5 років","","","","Негативно, вони залишають багато сміття і вони люди іншої культури, яка для нас чужа","На мене це ніяк не впливає","Позитивно, туристи це завжди добре для міста","середній (B1)","початковий (A1)","Ні","Так","Так","Центральна площа","","Торгово-розважальний центр;Сувенірні крамниці, майстерні ремесел;Майданчик для регулярних ярмарків"
"2025/09/06 12:22:25 PM GMT+3","Жіноча","","більше 20 років","Пенсіонер","до 10 000 грн","","Негативно, вони залишають багато сміття і вони люди іншої культури, яка для нас чужа","Позитивно, туристи це завжди добре для міста","Позитивно, туристи це завжди добре для міста","середній (B1)","середній (B1)","Ні","Так","Ні","Храми","Більше місць для проживання (готелі, хостели, садиби)",""
