"Timestamp","Стать респондента","Рік народження","Скільки часу ви проживаєте у місті Володимир","Ваш рід занять","Рівень доходу","Яку частину доходу ви витрачаєте на діяльсть пов'язану з туризмом та сферою обслуговування ","Як ви ставитесь до візитів хасидів до Володимира?","Як ви ставитесь до туристів з Польщі?","Як ви ставитесь до туристів з інших країн?","На вашу думку який у вас рівень володіння англійською мовою?","На вашу думку який у вас рівень володіння польською мовою?","Чи достатньо, на вашу думку, у Володимирі готелей, для розміщення туристів чи туристичних груп?","Чи достатньо, на вашу думку, у Володимирі закладів харчування?","Чи вважаєте ви, що Володимир достатньо представлений в інтернеті як туристичне місто?"," Які туристичні об’єкти у Володимирі є, на вашу думку, ключовими для приваблення туристів?","Які зміни в туристичній інфраструктурі ви вважаєте найбільш необхідними? (можна кілька варіантів)","Які об’єкти, на вашу думку, слід відкрити чи розвинути у Володимирі, щоб туристи залишалися довше? (можна кілька варіантів)"
"2025/09/06 8:11:40 PM GMT+3","Жіноча","1972","більше 20 років","Працівник","10 000 грн - 20 000 грн","до 5%","На мене це ніяк не впливає","Позитивно, туристи це завжди добре для міста","Позитивно, туристи це завжди добре для міста","початковий (A1)","початковий (A1)","Ні","Частково","Ні","Вали городища;Храми","Більше місць для проживання (готелі, хостели, садиби);Більше екскурсій та гідів, в тому числі іноземними мовами;Більше рекламних кампаній про місто за кордоном та в Україні","Музей з інтерактивними технологіями (VR/AR);Центр історії княжого Володимира;Торгово-розважальний центр"
"2025/09/06 8:20:55 PM GMT+3","Жіноча","1956","більше 20 років","Працівник","10 000 грн - 20 000 грн","до 5%","На мене це ніяк не впливає","На мене це ніяк не впливає","На мене це ніяк не впливає","початковий (A1)","початковий (A1)","Частково","Ні","Частково","Вали городища;Храми;Заклади харчування","Більше місць для проживання (готелі, хостели, садиби);Більше екскурсій та гідів, в тому числі іноземними мовами;Розвиток закладів харчування та місцевої кухні;Піша доріжка, яка обєднуватиме туристичні об'єкти","Кав’ярні/фуд-корт із місцевою кухнею;Музей з інтерактивними технологіями (VR/AR);Центр історії княжого Володимира;Літературно-мистецький простір (книгарня-кав’ярня, сцена);Вело- та пішохідні маршрути з прокатом;Майданчик для регулярних ярмарків"
"2025/09/06 8:25:31 PM GMT+3","Жіноча","1996","більше 20 років","Тимчасово не працюю","10 000 грн - 20 000 грн","10%-20%","На мене це ніяк не впливає","Позитивно, туристи це завжди добре для міста","Позитивно, туристи це завжди добре для міста","середній (B1)","початковий (A1)","Так","Так","Ні","Не буду відповідати","Організація нових культурних та розважальних подій;Більше екскурсій та гідів, в тому числі іноземними мовами;Розвиток закладів харчування та місцевої кухні","Кав’ярні/фуд-корт із місцевою кухнею;Контактний зоопарк / міні-ферма для дітей;Рекреаційна зона відпочинку з водоймою;SPA- та wellness-комплекс (сауни, басейн);Музей з інтерактивними технологіями (VR/AR);Центр історії княжого Володимира;Літературно-мистецький простір (книгарня-кав’ярня, сцена);Парк пригод (мотузковий, zip-line);Сувенірні крамниці, майстерні ремесел"
"2025/09/06 8:27:29 PM GMT+3","Чоловіча","2005","10-20 років","Працівник","10 000 грн - 20 000 грн","до 5%","Позитивно, туристи це завжди добре для міста","Позитивно, туристи це завжди добре для міста","Позитивно, туристи це завжди добре для міста","вище середнього (B2)","середній (B1)","Ні","Так","Ні","Вали городища;Храми","Організація нових культурних та розважальних подій;Більше рекламних кампаній про місто за кордоном та в Україні","МакДональдс чи інший fast-food;Кав’ярні/фуд-корт із місцевою кухнею;Лазертаг, боулінг, кінотеатр;Парк пригод (мотузковий, zip-line)"
"2025/09/06 8:30:16 PM GMT+3","Чоловіча","2001","більше 20 років","Працівник","10 000 грн - 20 000 грн",">20%","Позитивно, туристи це завжди добре для міста","Позитивно, туристи це завжди добре для міста","Позитивно, туристи це завжди добре для міста","вище середнього (B2)","початковий (A1)","Ні","Частково","Ні","Таких немає","Організація нових культурних та розважальних подій;Більше екскурсій та гідів, в тому числі іноземними мовами;Розвиток закладів харчування та місцевої кухні;Більше рекламних кампаній про місто за кордоном та в Україні","Кав’ярні/фуд-корт із місцевою кухнею;Рекреаційна зона відпочинку з водоймою;SPA- та wellness-комплекс (сауни, басейн);Парк пригод (мотузковий, zip-line);Торгово-розважальний центр;Сувенірні крамниці, майстерні ремесел"
"2025/09/06 8:31:02 PM GMT+3","Жіноча","1989","більше 20 років","Працівник","10 000 грн - 20 000 грн","5%-10%","Позитивно, туристи це завжди добре для міста","Позитивно, туристи це завжди добре для міста","Позитивно, туристи це завжди добре для міста","середній (B1)","початковий (A1)","Ні","Ні","Ні","Вали городища;Храми","Покращення доріг і транспортного сполучення;Більше місць для проживання (готелі, хостели, садиби);Краще туристичне зонування та навігація (вказівники, карти);Організація нових культурних та розважальних подій;Більше екскурсій та гідів, в тому числі іноземними мовами;Розвиток закладів харчування та місцевої кухні;Більше рекламних кампаній про місто за кордоном та в Україні;Піша доріжка, яка обєднуватиме туристичні об'єкти","МакДональдс чи інший fast-food;Рекреаційна зона відпочинку з водоймою;Музей з інтерактивними технологіями (VR/AR);Центр історії княжого Володимира;Літературно-мистецький простір (книгарня-кав’ярня, сцена);Парк пригод (мотузковий, zip-line);Сувенірні крамниці, майстерні ремесел"
"2025/09/06 8:37:47 PM GMT+3","Жіноча","1983","більше 20 років","Пенсіонер","до 10 000 грн","10%-20%","Позитивно, туристи це завжди добре для міста","Позитивно, туристи це завжди добре для міста","Позитивно, туристи це завжди добре для міста","початковий (A1)","елементарний (A2)","Ні","Так","Частково","Вали городища;Храми","Покращення доріг і транспортного сполучення;Краще туристичне зонування та навігація (вказівники, карти);Організація нових культурних та розважальних подій;Більше екскурсій та гідів, в тому числі іноземними мовами;Більше рекламних кампаній про місто за кордоном та в Україні;Піша доріжка, яка обєднуватиме туристичні об'єкти","МакДональдс чи інший fast-food;Рекреаційна зона відпочинку з водоймою;Центр історії княжого Володимира;Літературно-мистецький простір (книгарня-кав’ярня, сцена);Парк пригод (мотузковий, zip-line);Вело- та пішохідні маршрути з прокатом;Торгово-розважальний центр;Майданчик для регулярних ярмарків"
"2025/09/06 8:41:34 PM GMT+3","Жіноча","1977","більше 20 років","Приватний підприємець","10 000 грн - 20 000 грн","5%-10%","На мене це ніяк не впливає","На мене це ніяк не впливає","Позитивно, туристи це завжди добре для міста","початковий (A1)","початковий (A1)","Ні","Так","Ні","Вали городища","Покращення доріг і транспортного сполучення;Розвиток закладів харчування та місцевої кухні;Піша доріжка, яка обєднуватиме туристичні об'єкти","Музей з інтерактивними технологіями (VR/AR);Центр історії княжого Володимира;Літературно-мистецький простір (книгарня-кав’ярня, сцена);Парк пригод (мотузковий, zip-line);Вело- та пішохідні маршрути з прокатом;Сувенірні крамниці, майстерні ремесел"
"2025/09/06 8:42:25 PM GMT+3","Жіноча","1957","більше 20 років","Пенсіонер","до 10 000 грн","до 5%","Негативно, вони залишають багато сміття і вони люди іншої культури, яка для нас чужа","На мене це ніяк не впливає","Позитивно, туристи це завжди добре для міста","елементарний (A2)","середній (B1)","Ні","Частково","Ні","Вали городища;Храми","Покращення доріг і транспортного сполучення;Більше місць для проживання (готелі, хостели, садиби);Більше екскурсій та гідів, в тому числі іноземними мовами;Більше рекламних кампаній про місто за кордоном та в Україні","Музей з інтерактивними технологіями (VR/AR);Центр історії княжого Володимира;Сувенірні крамниці, майстерні ремесел"
"2025/09/06 8:51:42 PM GMT+3","Жіноча","1971","більше 20 років","Працівник","10 000 грн - 20 000 грн","до 5%","Позитивно, туристи це завжди добре для міста","Позитивно, туристи це завжди добре для міста","Позитивно, туристи це завжди добре для міста","елементарний (A2)","елементарний (A2)","Так","Ні","Ні","Вали городища;Храми","Краще туристичне зонування та навігація (вказівники, карти);Організація нових культурних та розважальних подій;Більше екскурсій та гідів, в тому числі іноземними мовами;Розвиток закладів харчування та місцевої кухні;Більше рекламних кампаній про місто за кордоном та в Україні;Піша доріжка, яка обєднуватиме туристичні об'єкти","Кав’ярні/фуд-корт із місцевою кухнею;Рекреаційна зона відпочинку з водоймою;Музей з інтерактивними технологіями (VR/AR);Центр історії княжого Володимира;Сувенірні крамниці, майстерні ремесел"
