"Timestamp","Стать респондента","Рік народження","Скільки часу ви проживаєте у місті Володимир","Ваш рід занять","Рівень доходу","Яку частину доходу ви витрачаєте на діяльсть пов'язану з туризмом та сферою обслуговування ","Як ви ставитесь до візитів хасидів до Володимира?","Як ви ставитесь до туристів з Польщі?","Як ви ставитесь до туристів з інших країн?","На вашу думку який у вас рівень володіння англійською мовою?","На вашу думку який у вас рівень володіння польською мовою?","Чи достатньо, на вашу думку, у Володимирі готелей, для розміщення туристів чи туристичних груп?","Чи достатньо, на вашу думку, у Володимирі закладів харчування?","Чи вважаєте ви, що Володимир достатньо представлений в інтернеті як туристичне місто?"," Які туристичні об’єкти у Володимирі є, на вашу думку, ключовими для приваблення туристів?","Які зміни в туристичній інфраструктурі ви вважаєте найбільш необхідними? (можна кілька варіантів)","Які об’єкти, на вашу думку, слід відкрити чи розвинути у Володимирі, щоб туристи залишалися довше? (можна кілька варіантів)"
"2025/08/29 11:45:32 PM GMT+3","Жіноча","1987","більше 20 років","","10 000 грн - 20 000 грн","5%-10%","","","","","","","","Ні","Вали городища","Покращення доріг і транспортного сполучення;Більше екскурсій та гідів, в тому числі іноземними мовами;Піша доріжка, яка обєднуватиме туристичні об'єкти","Рекреаційна зона відпочинку з водоймою;Музей з інтерактивними технологіями (VR/AR);Центр історії княжого Володимира;Літературно-мистецький простір (книгарня-кав’ярня, сцена);Вело- та пішохідні маршрути з прокатом;Сувенірні крамниці, майстерні ремесел"
"2025/08/29 11:47:27 PM GMT+3","Жіноча","","","Приватний підприємець","","","","","","","","","","","","Покращення доріг і транспортного сполучення;Більше місць для проживання (готелі, хостели, садиби);Розвиток закладів харчування та місцевої кухні;Більше рекламних кампаній про місто за кордоном та в Україні","Кав’ярні/фуд-корт із місцевою кухнею;Контактний зоопарк / міні-ферма для дітей;Центр історії княжого Володимира;Парк пригод (мотузковий, zip-line);Сувенірні крамниці, майстерні ремесел"
"2025/08/29 11:49:01 PM GMT+3","Жіноча","1973","більше 20 років","Працівник","","","","","","","","","","","","Покращення доріг і транспортного сполучення;Організація нових культурних та розважальних подій;Більше екскурсій та гідів, в тому числі іноземними мовами;Більше рекламних кампаній про місто за кордоном та в Україні","Кав’ярні/фуд-корт із місцевою кухнею;Контактний зоопарк / міні-ферма для дітей;Рекреаційна зона відпочинку з водоймою;SPA- та wellness-комплекс (сауни, басейн);Музей з інтерактивними технологіями (VR/AR);Центр історії княжого Володимира;Літературно-мистецький простір (книгарня-кав’ярня, сцена)"
"2025/08/29 11:50:46 PM GMT+3","Жіноча","","більше 20 років","Працівник","","","","","","","","","","","","Краще туристичне зонування та навігація (вказівники, карти);Організація нових культурних та розважальних подій;Більше екскурсій та гідів, в тому числі іноземними мовами","Кав’ярні/фуд-корт із місцевою кухнею;Музей з інтерактивними технологіями (VR/AR);Центр історії княжого Володимира;Сувенірні крамниці, майстерні ремесел"
"2025/08/29 11:52:42 PM GMT+3","Жіноча","1964","більше 20 років","Пенсіонер","","","","","","","","","","Частково","","Покращення доріг і транспортного сполучення;Більше місць для проживання (готелі, хостели, садиби);Краще туристичне зонування та навігація (вказівники, карти);Організація нових культурних та розважальних подій;Більше рекламних кампаній про місто за кордоном та в Україні","Контактний зоопарк / міні-ферма для дітей;SPA- та wellness-комплекс (сауни, басейн);Музей з інтерактивними технологіями (VR/AR);Літературно-мистецький простір (книгарня-кав’ярня, сцена);Вело- та пішохідні маршрути з прокатом"
"2025/08/29 11:55:03 PM GMT+3","Жіноча","1970","більше 20 років","Працівник","","","","","","","","","","Частково","Храми","Організація нових культурних та розважальних подій;Більше екскурсій та гідів, в тому числі іноземними мовами;Більше рекламних кампаній про місто за кордоном та в Україні","Рекреаційна зона відпочинку з водоймою;SPA- та wellness-комплекс (сауни, басейн);Музей з інтерактивними технологіями (VR/AR);Центр історії княжого Володимира"
"2025/08/29 11:56:48 PM GMT+3","Жіноча","1968","більше 20 років","Працівник","10 000 грн - 20 000 грн","до 5%","","","","","","","","Ні","Вали городища","Більше місць для проживання (готелі, хостели, садиби);Краще туристичне зонування та навігація (вказівники, карти);Розвиток закладів харчування та місцевої кухні","Кав’ярні/фуд-корт із місцевою кухнею;Контактний зоопарк / міні-ферма для дітей;Музей з інтерактивними технологіями (VR/AR);Центр історії княжого Володимира;Сувенірні крамниці, майстерні ремесел;Майданчик для регулярних ярмарків"
"2025/08/29 11:58:20 PM GMT+3","Жіноча","1970","більше 20 років","Пенсіонер","10 000 грн - 20 000 грн","10%-20%","","","","","","","","Ні","Вали городища;Храми","Краще туристичне зонування та навігація (вказівники, карти);Більше рекламних кампаній про місто за кордоном та в Україні","Музей з інтерактивними технологіями (VR/AR);Центр історії княжого Володимира;Літературно-мистецький простір (книгарня-кав’ярня, сцена);Парк пригод (мотузковий, zip-line);Вело- та пішохідні маршрути з прокатом"
"2025/08/29 11:59:28 PM GMT+3","Жіноча","1982","більше 20 років","Працівник","","","","","","","","","","Частково","Храми","Більше місць для проживання (готелі, хостели, садиби);Організація нових культурних та розважальних подій;Більше рекламних кампаній про місто за кордоном та в Україні","Музей з інтерактивними технологіями (VR/AR);Парк пригод (мотузковий, zip-line)"
"2025/08/30 12:02:05 AM GMT+3","Жіноча","","більше 20 років","Тимчасово не працюю","","до 5%","","","","","","","","Ні","Вали городища;Храми","Покращення доріг і транспортного сполучення;Більше місць для проживання (готелі, хостели, садиби);Розвиток закладів харчування та місцевої кухні;Більше рекламних кампаній про місто за кордоном та в Україні","Кав’ярні/фуд-корт із місцевою кухнею;Рекреаційна зона відпочинку з водоймою;Центр історії княжого Володимира;Літературно-мистецький простір (книгарня-кав’ярня, сцена);Сувенірні крамниці, майстерні ремесел;Майданчик для регулярних ярмарків"
"2025/08/30 12:03:54 AM GMT+3","Жіноча","1988","10-20 років","Приватний підприємець","10 000 грн - 20 000 грн","до 5%","","","","","","","","Ні","Вали городища","Покращення доріг і транспортного сполучення;Більше місць для проживання (готелі, хостели, садиби);Краще туристичне зонування та навігація (вказівники, карти);Організація нових культурних та розважальних подій;Більше екскурсій та гідів, в тому числі іноземними мовами;Розвиток закладів харчування та місцевої кухні;Більше рекламних кампаній про місто за кордоном та в Україні","Кав’ярні/фуд-корт із місцевою кухнею;Контактний зоопарк / міні-ферма для дітей;Рекреаційна зона відпочинку з водоймою;SPA- та wellness-комплекс (сауни, басейн);Музей з інтерактивними технологіями (VR/AR);Центр історії княжого Володимира;Літературно-мистецький простір (книгарня-кав’ярня, сцена);Сувенірні крамниці, майстерні ремесел;Майданчик для регулярних ярмарків"
"2025/08/30 12:05:36 AM GMT+3","Чоловіча","1988","10-20 років","Працівник","10 000 грн - 20 000 грн","","","","","","","","","Частково","Вали городища;Храми","Покращення доріг і транспортного сполучення;Більше місць для проживання (готелі, хостели, садиби);Організація нових культурних та розважальних подій;Більше екскурсій та гідів, в тому числі іноземними мовами;Розвиток закладів харчування та місцевої кухні","МакДональдс чи інший fast-food;Кав’ярні/фуд-корт із місцевою кухнею;Контактний зоопарк / міні-ферма для дітей;Рекреаційна зона відпочинку з водоймою;Музей з інтерактивними технологіями (VR/AR);Центр історії княжого Володимира;Вело- та пішохідні маршрути з прокатом;Торгово-розважальний центр;Сувенірні крамниці, майстерні ремесел;Майданчик для регулярних ярмарків"
"2025/08/30 12:07:27 AM GMT+3","Жіноча","1990","менше 2 років","Приватний підприємець","до 10 000 грн","до 5%","","","","","","","","Ні","Вежа на консервному заводі","Більше місць для проживання (готелі, хостели, садиби);Організація нових культурних та розважальних подій;Розвиток закладів харчування та місцевої кухні;Більше рекламних кампаній про місто за кордоном та в Україні","Кав’ярні/фуд-корт із місцевою кухнею;Музей з інтерактивними технологіями (VR/AR);Центр історії княжого Володимира;Вело- та пішохідні маршрути з прокатом;Сувенірні крамниці, майстерні ремесел"
"2025/08/30 12:08:52 AM GMT+3","Жіноча","1988","5-10 років","Працівник","10 000 грн - 20 000 грн","до 5%","","","","","","","","Ні","Вали городища","Більше місць для проживання (готелі, хостели, садиби);Більше рекламних кампаній про місто за кордоном та в Україні","МакДональдс чи інший fast-food;Кав’ярні/фуд-корт із місцевою кухнею;Рекреаційна зона відпочинку з водоймою;SPA- та wellness-комплекс (сауни, басейн);Музей з інтерактивними технологіями (VR/AR);Центр історії княжого Володимира;Сувенірні крамниці, майстерні ремесел"
"2025/08/30 12:11:05 AM GMT+3","Жіноча","1986","10-20 років","Працівник","10 000 грн - 20 000 грн","5%-10%","","","","","","","","Частково","Вали городища","Більше місць для проживання (готелі, хостели, садиби);Організація нових культурних та розважальних подій;Розвиток закладів харчування та місцевої кухні;Більше рекламних кампаній про місто за кордоном та в Україні","МакДональдс чи інший fast-food;Кав’ярні/фуд-корт із місцевою кухнею;SPA- та wellness-комплекс (сауни, басейн);Музей з інтерактивними технологіями (VR/AR);Сувенірні крамниці, майстерні ремесел"
"2025/08/30 12:13:24 AM GMT+3","Жіноча","1988","більше 20 років","Працівник","20 000 грн - 40 000 грн","5%-10%","","","","","","","","Ні","Вали городища;Храми","Більше місць для проживання (готелі, хостели, садиби);Організація нових культурних та розважальних подій;Розвиток закладів харчування та місцевої кухні","Кав’ярні/фуд-корт із місцевою кухнею;Музей з інтерактивними технологіями (VR/AR);Літературно-мистецький простір (книгарня-кав’ярня, сцена);Парк пригод (мотузковий, zip-line);Сувенірні крамниці, майстерні ремесел"
